userId	geneSymbol	geneName	entrezgene	gLink
Cry1	Cry1	cryptochrome 1 (photolyase-like)	12952	https://www.ncbi.nlm.nih.gov/gene/?term=12952
Cand1	Cand1	cullin associated and neddylation disassociated 1	71902	https://www.ncbi.nlm.nih.gov/gene/?term=71902
Lgr5	Lgr5	leucine rich repeat containing G protein coupled receptor 5	14160	https://www.ncbi.nlm.nih.gov/gene/?term=14160
Mdh1	Mdh1	malate dehydrogenase 1, NAD (soluble)	17449	https://www.ncbi.nlm.nih.gov/gene/?term=17449
Mapk9	Mapk9	mitogen-activated protein kinase 9	26420	https://www.ncbi.nlm.nih.gov/gene/?term=26420
Osbp2	Osbp2	oxysterol binding protein 2	74309	https://www.ncbi.nlm.nih.gov/gene/?term=74309
Smg8	Smg8	smg-8 homolog, nonsense mediated mRNA decay factor (C. elegans)	74133	https://www.ncbi.nlm.nih.gov/gene/?term=74133
Dnajc27	Dnajc27	DnaJ heat shock protein family (Hsp40) member C27	217378	https://www.ncbi.nlm.nih.gov/gene/?term=217378
Helz	Helz	helicase with zinc finger domain	78455	https://www.ncbi.nlm.nih.gov/gene/?term=78455
Sec14l1	Sec14l1	SEC14-like lipid binding 1	74136	https://www.ncbi.nlm.nih.gov/gene/?term=74136
Prpf8	Prpf8	pre-mRNA processing factor 8	192159	https://www.ncbi.nlm.nih.gov/gene/?term=192159
Spag9	Spag9	sperm associated antigen 9	70834	https://www.ncbi.nlm.nih.gov/gene/?term=70834
Vamp2	Vamp2	vesicle-associated membrane protein 2	22318	https://www.ncbi.nlm.nih.gov/gene/?term=22318
Myh10	Myh10	myosin, heavy polypeptide 10, non-muscle	77579	https://www.ncbi.nlm.nih.gov/gene/?term=77579
Adam11	Adam11	a disintegrin and metallopeptidase domain 11	11488	https://www.ncbi.nlm.nih.gov/gene/?term=11488
Spata7	Spata7	spermatogenesis associated 7	104871	https://www.ncbi.nlm.nih.gov/gene/?term=104871
Tshz3	Tshz3	teashirt zinc finger family member 3	243931	https://www.ncbi.nlm.nih.gov/gene/?term=243931
Gng4	Gng4	guanine nucleotide binding protein (G protein), gamma 4	14706	https://www.ncbi.nlm.nih.gov/gene/?term=14706
Auh	Auh	AU RNA binding protein/enoyl-coenzyme A hydratase	11992	https://www.ncbi.nlm.nih.gov/gene/?term=11992
Tppp	Tppp	tubulin polymerization promoting protein	72948	https://www.ncbi.nlm.nih.gov/gene/?term=72948
Glrx	Glrx	glutaredoxin	93692	https://www.ncbi.nlm.nih.gov/gene/?term=93692
Poc5	Poc5	POC5 centriolar protein	67463	https://www.ncbi.nlm.nih.gov/gene/?term=67463
4930452B06Rik	4930452B06Rik	RIKEN cDNA 4930452B06 gene	74430	https://www.ncbi.nlm.nih.gov/gene/?term=74430
Nr1d2	Nr1d2	nuclear receptor subfamily 1, group D, member 2	353187	https://www.ncbi.nlm.nih.gov/gene/?term=353187
Samd4	Samd4	sterile alpha motif domain containing 4	74480	https://www.ncbi.nlm.nih.gov/gene/?term=74480
Arhgef3	Arhgef3	Rho guanine nucleotide exchange factor (GEF) 3	71704	https://www.ncbi.nlm.nih.gov/gene/?term=71704
Tsc22d1	Tsc22d1	TSC22 domain family, member 1	21807	https://www.ncbi.nlm.nih.gov/gene/?term=21807
Stmn4	Stmn4	stathmin-like 4	56471	https://www.ncbi.nlm.nih.gov/gene/?term=56471
Ppp2r2a	Ppp2r2a	protein phosphatase 2, regulatory subunit B, alpha	71978	https://www.ncbi.nlm.nih.gov/gene/?term=71978
Rem2	Rem2	rad and gem related GTP binding protein 2	140743	https://www.ncbi.nlm.nih.gov/gene/?term=140743
Oxct1	Oxct1	3-oxoacid CoA transferase 1	67041	https://www.ncbi.nlm.nih.gov/gene/?term=67041
Sdr39u1	Sdr39u1	short chain dehydrogenase/reductase family 39U, member 1	654795	https://www.ncbi.nlm.nih.gov/gene/?term=654795
Mtss1	Mtss1	metastasis suppressor 1	211401	https://www.ncbi.nlm.nih.gov/gene/?term=211401
Asap1	Asap1	ArfGAP with SH3 domain, ankyrin repeat and PH domain1	13196	https://www.ncbi.nlm.nih.gov/gene/?term=13196
Tef	Tef	thyrotroph embryonic factor	21685	https://www.ncbi.nlm.nih.gov/gene/?term=21685
Syngr1	Syngr1	synaptogyrin 1	20972	https://www.ncbi.nlm.nih.gov/gene/?term=20972
Deptor	Deptor	DEP domain containing MTOR-interacting protein	97998	https://www.ncbi.nlm.nih.gov/gene/?term=97998
Cby1	Cby1	chibby family member 1, beta catenin antagonist	73739	https://www.ncbi.nlm.nih.gov/gene/?term=73739
Csnk1e	Csnk1e	casein kinase 1, epsilon	27373	https://www.ncbi.nlm.nih.gov/gene/?term=27373
Hrasls	Hrasls	HRAS-like suppressor	27281	https://www.ncbi.nlm.nih.gov/gene/?term=27281
Stxbp5l	Stxbp5l	syntaxin binding protein 5-like	207227	https://www.ncbi.nlm.nih.gov/gene/?term=207227
Synj1	Synj1	synaptojanin 1	104015	https://www.ncbi.nlm.nih.gov/gene/?term=104015
Slc38a1	Slc38a1	solute carrier family 38, member 1	105727	https://www.ncbi.nlm.nih.gov/gene/?term=105727
Enpp5	Enpp5	ectonucleotide pyrophosphatase/phosphodiesterase 5	83965	https://www.ncbi.nlm.nih.gov/gene/?term=83965
Foxp4	Foxp4	forkhead box P4	74123	https://www.ncbi.nlm.nih.gov/gene/?term=74123
Abcg1	Abcg1	ATP binding cassette subfamily G member 1	11307	https://www.ncbi.nlm.nih.gov/gene/?term=11307
Prepl	Prepl	prolyl endopeptidase-like	213760	https://www.ncbi.nlm.nih.gov/gene/?term=213760
Sap130	Sap130	Sin3A associated protein	269003	https://www.ncbi.nlm.nih.gov/gene/?term=269003
Mapre2	Mapre2	microtubule-associated protein, RP/EB family, member 2	212307	https://www.ncbi.nlm.nih.gov/gene/?term=212307
Dcp2	Dcp2	decapping mRNA 2	70640	https://www.ncbi.nlm.nih.gov/gene/?term=70640
Napg	Napg	N-ethylmaleimide sensitive fusion protein attachment protein gamma	108123	https://www.ncbi.nlm.nih.gov/gene/?term=108123
Tmem132a	Tmem132a	transmembrane protein 132A	98170	https://www.ncbi.nlm.nih.gov/gene/?term=98170
Rtn3	Rtn3	reticulon 3	20168	https://www.ncbi.nlm.nih.gov/gene/?term=20168
Adgra1	Adgra1	adhesion G protein-coupled receptor A1	52389	https://www.ncbi.nlm.nih.gov/gene/?term=52389
Uqcrc1	Uqcrc1	ubiquinol-cytochrome c reductase core protein 1	22273	https://www.ncbi.nlm.nih.gov/gene/?term=22273
Adam23	Adam23	a disintegrin and metallopeptidase domain 23	23792	https://www.ncbi.nlm.nih.gov/gene/?term=23792
Lancl1	Lancl1	LanC (bacterial lantibiotic synthetase component C)-like 1	14768	https://www.ncbi.nlm.nih.gov/gene/?term=14768
Prim2	Prim2	DNA primase, p58 subunit	19076	https://www.ncbi.nlm.nih.gov/gene/?term=19076
Pnkd	Pnkd	paroxysmal nonkinesiogenic dyskinesia	56695	https://www.ncbi.nlm.nih.gov/gene/?term=56695
Tmem163	Tmem163	transmembrane protein 163	72160	https://www.ncbi.nlm.nih.gov/gene/?term=72160
Atp1b1	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	11931	https://www.ncbi.nlm.nih.gov/gene/?term=11931
Stam	Stam	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	20844	https://www.ncbi.nlm.nih.gov/gene/?term=20844
Lypd6b	Lypd6b	LY6/PLAUR domain containing 6B	71897	https://www.ncbi.nlm.nih.gov/gene/?term=71897
Stxbp1	Stxbp1	syntaxin binding protein 1	20910	https://www.ncbi.nlm.nih.gov/gene/?term=20910
Dnm1	Dnm1	dynamin 1	13429	https://www.ncbi.nlm.nih.gov/gene/?term=13429
Brd3	Brd3	bromodomain containing 3	67382	https://www.ncbi.nlm.nih.gov/gene/?term=67382
Grin1	Grin1	glutamate receptor, ionotropic, NMDA1 (zeta 1)	14810	https://www.ncbi.nlm.nih.gov/gene/?term=14810
Slc25a12	Slc25a12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	78830	https://www.ncbi.nlm.nih.gov/gene/?term=78830
Zfp385b	Zfp385b	zinc finger protein 385B	241494	https://www.ncbi.nlm.nih.gov/gene/?term=241494
Med19	Med19	mediator complex subunit 19	381379	https://www.ncbi.nlm.nih.gov/gene/?term=381379
Atg13	Atg13	autophagy related 13	51897	https://www.ncbi.nlm.nih.gov/gene/?term=51897
Kat14	Kat14	lysine acetyltransferase 14	228714	https://www.ncbi.nlm.nih.gov/gene/?term=228714
Gzf1	Gzf1	GDNF-inducible zinc finger protein 1	74533	https://www.ncbi.nlm.nih.gov/gene/?term=74533
Phactr3	Phactr3	phosphatase and actin regulator 3	74189	https://www.ncbi.nlm.nih.gov/gene/?term=74189
Ntsr1	Ntsr1	neurotensin receptor 1	18216	https://www.ncbi.nlm.nih.gov/gene/?term=18216
Schip1	Schip1	schwannomin interacting protein 1	30953	https://www.ncbi.nlm.nih.gov/gene/?term=30953
Mme	Mme	membrane metallo endopeptidase	17380	https://www.ncbi.nlm.nih.gov/gene/?term=17380
Gmps	Gmps	guanine monophosphate synthetase	229363	https://www.ncbi.nlm.nih.gov/gene/?term=229363
Kcnab1	Kcnab1	potassium voltage-gated channel, shaker-related subfamily, beta member 1	16497	https://www.ncbi.nlm.nih.gov/gene/?term=16497
Serpini1	Serpini1	serine (or cysteine) peptidase inhibitor, clade I, member 1	20713	https://www.ncbi.nlm.nih.gov/gene/?term=20713
Kcnc4	Kcnc4	potassium voltage gated channel, Shaw-related subfamily, member 4	99738	https://www.ncbi.nlm.nih.gov/gene/?term=99738
Chrnb2	Chrnb2	cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)	11444	https://www.ncbi.nlm.nih.gov/gene/?term=11444
Prss12	Prss12	protease, serine 12 neurotrypsin (motopsin)	19142	https://www.ncbi.nlm.nih.gov/gene/?term=19142
Rap1gds1	Rap1gds1	RAP1, GTP-GDP dissociation stimulator 1	229877	https://www.ncbi.nlm.nih.gov/gene/?term=229877
Faxc	Faxc	failed axon connections homolog	76132	https://www.ncbi.nlm.nih.gov/gene/?term=76132
Mllt3	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3	70122	https://www.ncbi.nlm.nih.gov/gene/?term=70122
Dnajc6	Dnajc6	DnaJ heat shock protein family (Hsp40) member C6	72685	https://www.ncbi.nlm.nih.gov/gene/?term=72685
Pum1	Pum1	pumilio RNA-binding family member 1	80912	https://www.ncbi.nlm.nih.gov/gene/?term=80912
Rnf220	Rnf220	ring finger protein 220	66743	https://www.ncbi.nlm.nih.gov/gene/?term=66743
Fabp3	Fabp3	fatty acid binding protein 3, muscle and heart	14077	https://www.ncbi.nlm.nih.gov/gene/?term=14077
Khdrbs1	Khdrbs1	KH domain containing, RNA binding, signal transduction associated 1	20218	https://www.ncbi.nlm.nih.gov/gene/?term=20218
Stmn1	Stmn1	stathmin 1	16765	https://www.ncbi.nlm.nih.gov/gene/?term=16765
Cort	Cort	cortistatin	12854	https://www.ncbi.nlm.nih.gov/gene/?term=12854
Mtor	Mtor	mechanistic target of rapamycin kinase	56717	https://www.ncbi.nlm.nih.gov/gene/?term=56717
Mfn2	Mfn2	mitofusin 2	170731	https://www.ncbi.nlm.nih.gov/gene/?term=170731
Kcnip4	Kcnip4	Kv channel interacting protein 4	80334	https://www.ncbi.nlm.nih.gov/gene/?term=80334
Nsg1	Nsg1	neuron specific gene family member 1	18196	https://www.ncbi.nlm.nih.gov/gene/?term=18196
Mapre3	Mapre3	microtubule-associated protein, RP/EB family, member 3	100732	https://www.ncbi.nlm.nih.gov/gene/?term=100732
Tbc1d1	Tbc1d1	TBC1 domain family, member 1	57915	https://www.ncbi.nlm.nih.gov/gene/?term=57915
Gabra4	Gabra4	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4	14397	https://www.ncbi.nlm.nih.gov/gene/?term=14397
Slc30a9	Slc30a9	solute carrier family 30 (zinc transporter), member 9	109108	https://www.ncbi.nlm.nih.gov/gene/?term=109108
Bcl7a	Bcl7a	B cell CLL/lymphoma 7A	77045	https://www.ncbi.nlm.nih.gov/gene/?term=77045
Fam168a	Fam168a	family with sequence similarity 168, member A	319604	https://www.ncbi.nlm.nih.gov/gene/?term=319604
Atp2a2	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	11938	https://www.ncbi.nlm.nih.gov/gene/?term=11938
Cit	Cit	citron	12704	https://www.ncbi.nlm.nih.gov/gene/?term=12704
Wasf3	Wasf3	WAS protein family, member 3	245880	https://www.ncbi.nlm.nih.gov/gene/?term=245880
Dync1i1	Dync1i1	dynein cytoplasmic 1 intermediate chain 1	13426	https://www.ncbi.nlm.nih.gov/gene/?term=13426
Ccdc184	Ccdc184	coiled-coil domain containing 184	239650	https://www.ncbi.nlm.nih.gov/gene/?term=239650
Isy1	Isy1	ISY1 splicing factor homolog	57905	https://www.ncbi.nlm.nih.gov/gene/?term=57905
Fam234b	Fam234b	family with sequence similarity 234, member B	74525	https://www.ncbi.nlm.nih.gov/gene/?term=74525
Slc6a1	Slc6a1	solute carrier family 6 (neurotransmitter transporter, GABA), member 1	232333	https://www.ncbi.nlm.nih.gov/gene/?term=232333
Fam189a1	Fam189a1	family with sequence similarity 189, member A1	70638	https://www.ncbi.nlm.nih.gov/gene/?term=70638
Pak1	Pak1	p21 (RAC1) activated kinase 1	18479	https://www.ncbi.nlm.nih.gov/gene/?term=18479
Syp	Syp	synaptophysin	20977	https://www.ncbi.nlm.nih.gov/gene/?term=20977
Tnks	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	21951	https://www.ncbi.nlm.nih.gov/gene/?term=21951
Ap3m2	Ap3m2	adaptor-related protein complex 3, mu 2 subunit	64933	https://www.ncbi.nlm.nih.gov/gene/?term=64933
Slit2	Slit2	slit guidance ligand 2	20563	https://www.ncbi.nlm.nih.gov/gene/?term=20563
Tenm3	Tenm3	teneurin transmembrane protein 3	23965	https://www.ncbi.nlm.nih.gov/gene/?term=23965
Sh3rf1	Sh3rf1	SH3 domain containing ring finger 1	59009	https://www.ncbi.nlm.nih.gov/gene/?term=59009
Got2	Got2	glutamatic-oxaloacetic transaminase 2, mitochondrial	14719	https://www.ncbi.nlm.nih.gov/gene/?term=14719
Tbc1d9	Tbc1d9	TBC1 domain family, member 9	71310	https://www.ncbi.nlm.nih.gov/gene/?term=71310
Rab3a	Rab3a	RAB3A, member RAS oncogene family	19339	https://www.ncbi.nlm.nih.gov/gene/?term=19339
Dctn1	Dctn1	dynactin 1	13191	https://www.ncbi.nlm.nih.gov/gene/?term=13191
Ccsap	Ccsap	centriole, cilia and spindle associated protein	73420	https://www.ncbi.nlm.nih.gov/gene/?term=73420
Vps26b	Vps26b	VPS26 retromer complex component B	69091	https://www.ncbi.nlm.nih.gov/gene/?term=69091
Aplp2	Aplp2	amyloid beta (A4) precursor-like protein 2	11804	https://www.ncbi.nlm.nih.gov/gene/?term=11804
Ddx25	Ddx25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	30959	https://www.ncbi.nlm.nih.gov/gene/?term=30959
C2cd2l	C2cd2l	C2 calcium-dependent domain containing 2-like	71764	https://www.ncbi.nlm.nih.gov/gene/?term=71764
Abcg4	Abcg4	ATP binding cassette subfamily G member 4	192663	https://www.ncbi.nlm.nih.gov/gene/?term=192663
Rwdd2a	Rwdd2a	RWD domain containing 2A	69519	https://www.ncbi.nlm.nih.gov/gene/?term=69519
Rab6b	Rab6b	RAB6B, member RAS oncogene family	270192	https://www.ncbi.nlm.nih.gov/gene/?term=270192
Usp4	Usp4	ubiquitin specific peptidase 4 (proto-oncogene)	22258	https://www.ncbi.nlm.nih.gov/gene/?term=22258
1700025G04Rik	1700025G04Rik	RIKEN cDNA 1700025G04 gene	69399	https://www.ncbi.nlm.nih.gov/gene/?term=69399
Chrm1	Chrm1	cholinergic receptor, muscarinic 1, CNS	12669	https://www.ncbi.nlm.nih.gov/gene/?term=12669
Trpc1	Trpc1	transient receptor potential cation channel, subfamily C, member 1	22063	https://www.ncbi.nlm.nih.gov/gene/?term=22063
Asic4	Asic4	acid-sensing (proton-gated) ion channel family member 4	241118	https://www.ncbi.nlm.nih.gov/gene/?term=241118
Atg9a	Atg9a	autophagy related 9A	245860	https://www.ncbi.nlm.nih.gov/gene/?term=245860
Ptprm	Ptprm	protein tyrosine phosphatase, receptor type, M	19274	https://www.ncbi.nlm.nih.gov/gene/?term=19274
Ttc7b	Ttc7b	tetratricopeptide repeat domain 7B	104718	https://www.ncbi.nlm.nih.gov/gene/?term=104718
Fam20b	Fam20b	family with sequence similarity 20, member B	215015	https://www.ncbi.nlm.nih.gov/gene/?term=215015
Cplx1	Cplx1	complexin 1	12889	https://www.ncbi.nlm.nih.gov/gene/?term=12889
Sik3	Sik3	SIK family kinase 3	70661	https://www.ncbi.nlm.nih.gov/gene/?term=70661
Exoc3	Exoc3	exocyst complex component 3	211446	https://www.ncbi.nlm.nih.gov/gene/?term=211446
Nsf	Nsf	N-ethylmaleimide sensitive fusion protein	18195	https://www.ncbi.nlm.nih.gov/gene/?term=18195
Hdac11	Hdac11	histone deacetylase 11	232232	https://www.ncbi.nlm.nih.gov/gene/?term=232232
Iqsec1	Iqsec1	IQ motif and Sec7 domain 1	232227	https://www.ncbi.nlm.nih.gov/gene/?term=232227
Tmem132c	Tmem132c	transmembrane protein 132C	208213	https://www.ncbi.nlm.nih.gov/gene/?term=208213
Inpp5j	Inpp5j	inositol polyphosphate 5-phosphatase J	170835	https://www.ncbi.nlm.nih.gov/gene/?term=170835
Nrip3	Nrip3	nuclear receptor interacting protein 3	78593	https://www.ncbi.nlm.nih.gov/gene/?term=78593
Sncb	Sncb	synuclein, beta	104069	https://www.ncbi.nlm.nih.gov/gene/?term=104069
Synrg	Synrg	synergin, gamma	217030	https://www.ncbi.nlm.nih.gov/gene/?term=217030
Parm1	Parm1	prostate androgen-regulated mucin-like protein 1	231440	https://www.ncbi.nlm.nih.gov/gene/?term=231440
Tbr1	Tbr1	T-box brain gene 1	21375	https://www.ncbi.nlm.nih.gov/gene/?term=21375
Pdk3	Pdk3	pyruvate dehydrogenase kinase, isoenzyme 3	236900	https://www.ncbi.nlm.nih.gov/gene/?term=236900
Kcnc2	Kcnc2	potassium voltage gated channel, Shaw-related subfamily, member 2	268345	https://www.ncbi.nlm.nih.gov/gene/?term=268345
Rusc2	Rusc2	RUN and SH3 domain containing 2	100213	https://www.ncbi.nlm.nih.gov/gene/?term=100213
Ndrg4	Ndrg4	N-myc downstream regulated gene 4	234593	https://www.ncbi.nlm.nih.gov/gene/?term=234593
Etl4	Etl4	enhancer trap locus 4	208618	https://www.ncbi.nlm.nih.gov/gene/?term=208618
Sstr4	Sstr4	somatostatin receptor 4	20608	https://www.ncbi.nlm.nih.gov/gene/?term=20608
E330009J07Rik	E330009J07Rik	RIKEN cDNA E330009J07 gene	243780	https://www.ncbi.nlm.nih.gov/gene/?term=243780
Zfyve28	Zfyve28	zinc finger, FYVE domain containing 28	231125	https://www.ncbi.nlm.nih.gov/gene/?term=231125
Dzank1	Dzank1	double zinc ribbon and ankyrin repeat domains 1	241688	https://www.ncbi.nlm.nih.gov/gene/?term=241688
Zmat4	Zmat4	zinc finger, matrin type 4	320158	https://www.ncbi.nlm.nih.gov/gene/?term=320158
Fam168b	Fam168b	family with sequence similarity 168, member B	214469	https://www.ncbi.nlm.nih.gov/gene/?term=214469
Fbxo34	Fbxo34	F-box protein 34	78938	https://www.ncbi.nlm.nih.gov/gene/?term=78938
Dusp8	Dusp8	dual specificity phosphatase 8	18218	https://www.ncbi.nlm.nih.gov/gene/?term=18218
Bri3bp	Bri3bp	Bri3 binding protein	76809	https://www.ncbi.nlm.nih.gov/gene/?term=76809
Snrk	Snrk	SNF related kinase	20623	https://www.ncbi.nlm.nih.gov/gene/?term=20623
Sobp	Sobp	sine oculis binding protein	109205	https://www.ncbi.nlm.nih.gov/gene/?term=109205
Ncoa6	Ncoa6	nuclear receptor coactivator 6	56406	https://www.ncbi.nlm.nih.gov/gene/?term=56406
Sv2a	Sv2a	synaptic vesicle glycoprotein 2 a	64051	https://www.ncbi.nlm.nih.gov/gene/?term=64051
Pptc7	Pptc7	PTC7 protein phosphatase homolog	320717	https://www.ncbi.nlm.nih.gov/gene/?term=320717
Ythdf1	Ythdf1	YTH N6-methyladenosine RNA binding protein 1	228994	https://www.ncbi.nlm.nih.gov/gene/?term=228994
Plcl2	Plcl2	phospholipase C-like 2	224860	https://www.ncbi.nlm.nih.gov/gene/?term=224860
Ss18l1	Ss18l1	SS18, nBAF chromatin remodeling complex subunit like 1	269397	https://www.ncbi.nlm.nih.gov/gene/?term=269397
Htr5a	Htr5a	5-hydroxytryptamine (serotonin) receptor 5A	15563	https://www.ncbi.nlm.nih.gov/gene/?term=15563
Tekt5	Tekt5	tektin 5	70426	https://www.ncbi.nlm.nih.gov/gene/?term=70426
Lgi2	Lgi2	leucine-rich repeat LGI family, member 2	246316	https://www.ncbi.nlm.nih.gov/gene/?term=246316
Atp6v0e2	Atp6v0e2	ATPase, H+ transporting, lysosomal V0 subunit E2	76252	https://www.ncbi.nlm.nih.gov/gene/?term=76252
Cplx3	Cplx3	complexin 3	235415	https://www.ncbi.nlm.nih.gov/gene/?term=235415
Dock3	Dock3	dedicator of cyto-kinesis 3	208869	https://www.ncbi.nlm.nih.gov/gene/?term=208869
Alg2	Alg2	asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)	56737	https://www.ncbi.nlm.nih.gov/gene/?term=56737
Cited2	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	17684	https://www.ncbi.nlm.nih.gov/gene/?term=17684
Clstn1	Clstn1	calsyntenin 1	65945	https://www.ncbi.nlm.nih.gov/gene/?term=65945
Gramd1b	Gramd1b	GRAM domain containing 1B	235283	https://www.ncbi.nlm.nih.gov/gene/?term=235283
Prrc2c	Prrc2c	proline-rich coiled-coil 2C	226562	https://www.ncbi.nlm.nih.gov/gene/?term=226562
Tex2	Tex2	testis expressed gene 2	21763	https://www.ncbi.nlm.nih.gov/gene/?term=21763
Ttc3	Ttc3	tetratricopeptide repeat domain 3	22129	https://www.ncbi.nlm.nih.gov/gene/?term=22129
Atp1a3	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	232975	https://www.ncbi.nlm.nih.gov/gene/?term=232975
Nrg3	Nrg3	neuregulin 3	18183	https://www.ncbi.nlm.nih.gov/gene/?term=18183
Map7d2	Map7d2	MAP7 domain containing 2	78283	https://www.ncbi.nlm.nih.gov/gene/?term=78283
